w_hgb,w_cat,w_stack,threshold,oof_accuracy,oof_roc_auc,positive_rate
0.0,1.0,0.0,0.5,0.8169791786494881,0.9006778334948735,0.5014379385712643
0.3,0.6,0.1,0.46,0.8164040032209824,0.90255054372251,0.5337627976532843
0.5,0.5,0.0,0.465,0.8162889681352813,0.9026514908896107,0.5320372713677671
0.2,0.7,0.1,0.465,0.8162889681352813,0.9025441385797628,0.5313470608535603
0.4,0.6,0.0,0.455,0.8161739330495801,0.9027604312513797,0.5406649027953526
0.3,0.6,0.1,0.455,0.8161739330495801,0.90255054372251,0.5365236397101116
0.4,0.5,0.1,0.455,0.8161739330495801,0.9023640005568767,0.5356033590245025
0.1,0.8,0.1,0.47,0.8161739330495801,0.9023043956747817,0.5275509030254227
